Symbol,Security,ICB Industry[15],ICB Subsector[15],YahooSymbol
ADBE,Adobe Inc.,Technology,Computer Software,ADBE
AMD,Advanced Micro Devices,Technology,Semiconductors,AMD
ABNB,Airbnb,Consumer Discretionary,Diversified Commercial Services,ABNB
ALNY,Alnylam Pharmaceuticals,Health Care,Biotechnology,ALNY
GOOGL,Alphabet Inc. (Class A),Technology,Computer Software,GOOGL
GOOG,Alphabet Inc. (Class C),Technology,Computer Software,GOOG
AMZN,Amazon,Consumer Discretionary,Catalog/Specialty Distribution,AMZN
AEP,American Electric Power,Utilities,Electric Utilities,AEP
AMGN,Amgen,Health Care,Biotechnology,AMGN
ADI,Analog Devices,Technology,Semiconductors,ADI
AAPL,Apple Inc.,Technology,Computer Manufacturing,AAPL
AMAT,Applied Materials,Technology,Semiconductors,AMAT
APP,AppLovin,Technology,Computer Software,APP
ARM,Arm Holdings,Technology,Semiconductors,ARM
ASML,ASML Holding,Technology,Industrial Machinery,ASML
ADSK,Autodesk,Technology,Computer Software,ADSK
ADP,Automatic Data Processing,Industrials,Diversified Commercial Services,ADP
AXON,Axon Enterprise,Industrials,Ordnance & Accessories,AXON
BKR,Baker Hughes,Energy,Oil Equipment & Services,BKR
BKNG,Booking Holdings,Consumer Discretionary,Transportation Services,BKNG
AVGO,Broadcom,Technology,Semiconductors,AVGO
CDNS,Cadence Design Systems,Technology,Computer Software,CDNS
CHTR,Charter Communications,Telecommunications,Cable & Other Pay Television Services,CHTR
CTAS,Cintas,Industrials,Garments & Clothing,CTAS
CSCO,Cisco,Telecommunications,Computer Communications Equipment,CSCO
CCEP,Coca-Cola Europacific Partners,Consumer Staples,Soft Drinks,CCEP
CTSH,Cognizant,Technology,EDP Services,CTSH
CMCSA,Comcast,Telecommunications,Cable & Other Pay Television Services,CMCSA
CEG,Constellation Energy,Utilities,Electric Utilities,CEG
CPRT,Copart,Consumer Discretionary,Retail,CPRT
COST,Costco,Consumer Discretionary,Department/Specialty Retail Stores,COST
CRWD,CrowdStrike,Technology,Computer Software,CRWD
CSX,CSX Corporation,Industrials,Railroads,CSX
DDOG,Datadog,Technology,Computer Software,DDOG
DXCM,DexCom,Health Care,Medical/Dental Instruments,DXCM
FANG,Diamondback Energy,Energy,Oil & Gas Production,FANG
DASH,DoorDash,Technology,EDP Services,DASH
EA,Electronic Arts,Consumer Discretionary,Miscellaneous Amusement & Recreation Services,EA
EXC,Exelon,Utilities,Power Generation,EXC
FAST,Fastenal,Industrials,Construction & Materials,FAST
FER,Ferrovial,Industrials,"Military, Government, Technical",FER
FTNT,Fortinet,Technology,Computer Peripheral Equipment,FTNT
GEHC,GE HealthCare,Health Care,Medical Electronics,GEHC
GILD,Gilead Sciences,Health Care,Biotechnology,GILD
HON,Honeywell,Industrials,Aerospace,HON
IDXX,Idexx Laboratories,Health Care,Biotechnology,IDXX
INSM,Insmed Incorporated,Health Care,Biotechnology,INSM
INTC,Intel,Technology,Semiconductors,INTC
INTU,Intuit,Technology,Computer Software,INTU
